OBJECTID,geoid,ZONE_CODE,COUNT,AREA,MEAN_HEAT_INDEX
539,17031260200,539,3262,326200,88.30704806
540,17031530200,540,12952,1295200,90.87333717
541,17031730700,541,9848,984800,89.82529965
542,17031251700,542,4854,485400,88.5706405
543,17031750100,543,12847,1284700,90.62303377
544,17031750600,544,13153,1315300,90.52911107
545,17031070102,545,1249,124900,87.92195268
546,17031530300,546,13087,1308700,90.5816914
547,17031530400,547,13118,1311800,90.74101318
548,17031251000,548,4678,467800,88.95201789
549,17031530501,549,12961,1296100,90.99094571
550,17031530503,550,16162,1616200,91.14176758
551,17031020902,551,5023,502300,86.39647165
552,17031750500,552,26316,2631600,90.19000869
553,17031750200,553,13096,1309600,91.51401793
554,17031821402,554,154,15400,90.96888262
555,17031720700,555,10488,1048800,91.80536659
556,17031061800,556,831,83100,87.22005823
557,17031231500,557,9981,998100,88.36377792
558,17031260100,558,3251,325100,88.06427265
559,17031260300,559,3299,329900,88.47402238
560,17031836700,560,12282,1228200,89.08562277
561,17031837100,561,7417,741700,88.91068446
562,17031251600,562,4810,481000,89.3447346
563,17031842100,563,20310,2031000,88.55453098
564,17031833000,564,13115,1311500,89.44781607
565,17031251800,565,10000,1000000,89.36734908
566,17031836800,566,8175,817500,87.99644275
567,17031280800,567,2380,238000,88.94983668
568,17031282700,568,4401,440100,89.01510321
569,17031271800,569,2078,207800,88.44585394
570,17031837000,570,4123,412300,89.1390684
571,17031836900,571,1658,165800,88.50696162
572,17031837400,572,5922,592200,88.89064132
573,17031310700,573,1603,160300,89.01204379
574,17031283100,574,2115,211500,88.46082625
575,17031063100,575,1608,160800,88.16708789
576,17031832900,576,3998,399800,88.77203291
577,17031838000,577,5380,538000,89.22942087
578,17031310600,578,5438,543800,88.86879054
579,17031310900,579,4852,485200,88.83504421
580,17031833300,580,4790,479000,88.75747603
581,17031130300,581,7215,721500,86.64552143
582,17031833100,582,9235,923500,89.28901472
583,17031283200,583,2379,237900,88.56674969
584,17031838100,584,8194,819400,89.03357984
585,17031838200,585,11570,1157000,88.76880167
586,17031842900,586,22068,2206800,88.76188189
587,17031040100,587,20011,2001100,85.759356
588,17031040202,588,5893,589300,86.6633083
589,17031020702,589,7065,706500,87.08641708
590,17031060900,590,4991,499100,86.45826347
591,17031061901,591,1609,160900,87.82669821
592,17031063400,592,1586,158600,88.60086887
593,17031062800,593,3250,325000,89.11914617
594,17031061902,594,2729,272900,86.86918554
595,17031062000,595,2236,223600,87.98798848
596,17031062100,596,2444,244400,88.756944
597,17031062200,597,2422,242200,89.04767944
598,17031062900,598,3260,326000,89.0466434
599,17031063000,599,3224,322400,89.02846465
600,17031063200,600,3664,366400,86.84577732
601,17031063302,601,1212,121200,85.93700376
602,17031063303,602,2357,235700,86.45107974
603,17031070101,603,5666,566600,87.51897703
604,17031070200,604,3404,340400,88.17002674
605,17031070300,605,3255,325500,88.65454329
606,17031070400,606,3238,323800,88.24208539
607,17031832000,607,1684,168400,88.78489338
608,17031061000,608,1730,173000,88.22090974
609,17031061500,609,1633,163300,89.18129925
610,17031063301,610,937,93700,87.41505888
611,17031062300,611,1630,163000,89.03881984
612,17031310400,612,1228,122800,88.53813468
613,17031283800,613,3743,374300,88.75173942
614,17031281900,614,4389,438900,89.30068146
615,17031071100,615,3254,325400,87.66612596
616,17031310200,616,3211,321100,89.06848082
617,17031310300,617,3187,318700,88.39790795
618,17031600600,618,4061,406100,89.48669127
619,17031841900,619,25619,2561900,89.59612393
620,17031600700,620,4857,485700,89.05975799
621,17031843200,621,30903,3090300,89.31989936
622,17031840200,622,8615,861500,88.68952974
623,17031130100,623,18354,1835400,86.84017704
624,17031020602,624,4921,492100,85.73270587
625,17031020301,625,8267,826700,87.03251185
626,17031020302,626,6398,639800,85.95127
627,17031020601,627,5896,589600,86.69924545
628,17031300500,628,2712,271200,89.08089928
629,17031301803,629,3479,347900,89.37676574
630,17031301801,630,6955,695500,89.19013089
631,17031301701,631,3297,329700,89.89531081
632,17031301702,632,3312,331200,89.45234288
633,17031301802,633,3440,344000,89.32833306
634,17031100100,634,11794,1179400,88.20421087
635,17031100200,635,20909,2090900,88.08855779
636,17031672000,636,9929,992900,90.2702843
637,17031100600,637,12874,1287400,89.72977032
638,17031100700,638,12093,1209300,89.31371902
639,17031222900,639,2207,220700,88.6409384
640,17031110100,640,18400,1840000,87.96250637
641,17031032100,641,4311,431100,87.38496042
642,17031120100,642,27792,2779200,87.17991718
643,17031031502,643,1640,164000,87.15688815
644,17031120200,644,23855,2385500,88.08870713
645,17031090300,645,4764,476400,88.75156657
646,17031090200,646,15283,1528300,88.49381658
647,17031100300,647,22821,2282100,87.67600953
648,17031100500,648,19487,1948700,88.54559811
649,17031060800,649,1804,180400,87.324742
